departamento,anio,numero_desmovilizados
Amazonas,2003,1
Amazonas,2004,0
Amazonas,2005,2
Amazonas,2006,11
Amazonas,2007,2
Amazonas,2008,3
Amazonas,2009,2
Amazonas,2010,1
Amazonas,2011,1
Amazonas,2012,12
Amazonas,2013,1
Amazonas,2014,1
Amazonas,2015,0
Amazonas,2016,0
Amazonas,2017,0
Antioquia,2003,925
Antioquia,2004,893
Antioquia,2005,4337
Antioquia,2006,4352
Antioquia,2007,288
Antioquia,2008,250
Antioquia,2009,240
Antioquia,2010,200
Antioquia,2011,116
Antioquia,2012,112
Antioquia,2013,129
Antioquia,2014,112
Antioquia,2015,74
Antioquia,2016,66
Antioquia,2017,33
Arauca,2003,6
Arauca,2004,15
Arauca,2005,52
Arauca,2006,30
Arauca,2007,25
Arauca,2008,15
Arauca,2009,16
Arauca,2010,14
Arauca,2011,14
Arauca,2012,8
Arauca,2013,9
Arauca,2014,11
Arauca,2015,9
Arauca,2016,10
Arauca,2017,7
Archipielago De San Andres Providencia Y Santa Catalina,2003,0
Archipielago De San Andres Providencia Y Santa Catalina,2004,0
Archipielago De San Andres Providencia Y Santa Catalina,2005,1
Archipielago De San Andres Providencia Y Santa Catalina,2006,1
Archipielago De San Andres Providencia Y Santa Catalina,2007,0
Archipielago De San Andres Providencia Y Santa Catalina,2008,0
Archipielago De San Andres Providencia Y Santa Catalina,2009,1
Archipielago De San Andres Providencia Y Santa Catalina,2010,0
Archipielago De San Andres Providencia Y Santa Catalina,2011,0
Archipielago De San Andres Providencia Y Santa Catalina,2012,0
Archipielago De San Andres Providencia Y Santa Catalina,2013,0
Archipielago De San Andres Providencia Y Santa Catalina,2014,0
Archipielago De San Andres Providencia Y Santa Catalina,2015,1
Archipielago De San Andres Providencia Y Santa Catalina,2016,0
Archipielago De San Andres Providencia Y Santa Catalina,2017,0
Atlantico,2003,25
Atlantico,2004,63
Atlantico,2005,280
Atlantico,2006,906
Atlantico,2007,31
Atlantico,2008,42
Atlantico,2009,24
Atlantico,2010,17
Atlantico,2011,6
Atlantico,2012,5
Atlantico,2013,9
Atlantico,2014,4
Atlantico,2015,1
Atlantico,2016,8
Atlantico,2017,0
Bogota,2003,555
Bogota,2004,769
Bogota,2005,1009
Bogota,2006,1303
Bogota,2007,498
Bogota,2008,369
Bogota,2009,354
Bogota,2010,319
Bogota,2011,153
Bogota,2012,105
Bogota,2013,83
Bogota,2014,71
Bogota,2015,55
Bogota,2016,55
Bogota,2017,32
Bolivar,2003,20
Bolivar,2004,114
Bolivar,2005,394
Bolivar,2006,577
Bolivar,2007,54
Bolivar,2008,70
Bolivar,2009,38
Bolivar,2010,22
Bolivar,2011,5
Bolivar,2012,9
Bolivar,2013,9
Bolivar,2014,13
Bolivar,2015,8
Bolivar,2016,5
Bolivar,2017,2
Boyaca,2003,25
Boyaca,2004,44
Boyaca,2005,76
Boyaca,2006,527
Boyaca,2007,28
Boyaca,2008,36
Boyaca,2009,42
Boyaca,2010,10
Boyaca,2011,10
Boyaca,2012,9
Boyaca,2013,2
Boyaca,2014,10
Boyaca,2015,5
Boyaca,2016,3
Boyaca,2017,4
Caldas,2003,12
Caldas,2004,20
Caldas,2005,137
Caldas,2006,261
Caldas,2007,31
Caldas,2008,67
Caldas,2009,29
Caldas,2010,14
Caldas,2011,8
Caldas,2012,4
Caldas,2013,16
Caldas,2014,10
Caldas,2015,8
Caldas,2016,9
Caldas,2017,3
Caqueta,2003,26
Caqueta,2004,24
Caqueta,2005,54
Caqueta,2006,174
Caqueta,2007,111
Caqueta,2008,119
Caqueta,2009,114
Caqueta,2010,141
Caqueta,2011,74
Caqueta,2012,47
Caqueta,2013,58
Caqueta,2014,80
Caqueta,2015,58
Caqueta,2016,51
Caqueta,2017,28
Casanare,2003,34
Casanare,2004,79
Casanare,2005,348
Casanare,2006,149
Casanare,2007,49
Casanare,2008,56
Casanare,2009,65
Casanare,2010,40
Casanare,2011,43
Casanare,2012,19
Casanare,2013,15
Casanare,2014,16
Casanare,2015,15
Casanare,2016,1
Casanare,2017,2
Cauca,2003,24
Cauca,2004,42
Cauca,2005,65
Cauca,2006,134
Cauca,2007,98
Cauca,2008,186
Cauca,2009,67
Cauca,2010,55
Cauca,2011,29
Cauca,2012,21
Cauca,2013,52
Cauca,2014,40
Cauca,2015,56
Cauca,2016,20
Cauca,2017,11
Cesar,2003,26
Cesar,2004,109
Cesar,2005,190
Cesar,2006,2500
Cesar,2007,48
Cesar,2008,42
Cesar,2009,39
Cesar,2010,13
Cesar,2011,13
Cesar,2012,17
Cesar,2013,28
Cesar,2014,25
Cesar,2015,10
Cesar,2016,17
Cesar,2017,10
Choco,2003,11
Choco,2004,34
Choco,2005,97
Choco,2006,287
Choco,2007,7
Choco,2008,29
Choco,2009,27
Choco,2010,25
Choco,2011,12
Choco,2012,12
Choco,2013,18
Choco,2014,14
Choco,2015,16
Choco,2016,14
Choco,2017,3
Cordoba,2003,8
Cordoba,2004,376
Cordoba,2005,1633
Cordoba,2006,1274
Cordoba,2007,6
Cordoba,2008,5
Cordoba,2009,19
Cordoba,2010,13
Cordoba,2011,12
Cordoba,2012,2
Cordoba,2013,9
Cordoba,2014,10
Cordoba,2015,9
Cordoba,2016,5
Cordoba,2017,3
Cundinamarca,2003,145
Cundinamarca,2004,228
Cundinamarca,2005,278
Cundinamarca,2006,476
Cundinamarca,2007,102
Cundinamarca,2008,112
Cundinamarca,2009,97
Cundinamarca,2010,93
Cundinamarca,2011,50
Cundinamarca,2012,40
Cundinamarca,2013,43
Cundinamarca,2014,41
Cundinamarca,2015,32
Cundinamarca,2016,20
Cundinamarca,2017,13
Guainia,2003,1
Guainia,2004,1
Guainia,2005,2
Guainia,2006,4
Guainia,2007,5
Guainia,2008,8
Guainia,2009,8
Guainia,2010,5
Guainia,2011,3
Guainia,2012,0
Guainia,2013,4
Guainia,2014,1
Guainia,2015,3
Guainia,2016,3
Guainia,2017,2
Guaviare,2003,2
Guaviare,2004,5
Guaviare,2005,10
Guaviare,2006,40
Guaviare,2007,7
Guaviare,2008,14
Guaviare,2009,11
Guaviare,2010,17
Guaviare,2011,20
Guaviare,2012,6
Guaviare,2013,10
Guaviare,2014,16
Guaviare,2015,8
Guaviare,2016,5
Guaviare,2017,5
Huila,2003,44
Huila,2004,62
Huila,2005,91
Huila,2006,199
Huila,2007,138
Huila,2008,126
Huila,2009,155
Huila,2010,106
Huila,2011,82
Huila,2012,43
Huila,2013,48
Huila,2014,54
Huila,2015,42
Huila,2016,20
Huila,2017,10
La Guajira,2003,5
La Guajira,2004,10
La Guajira,2005,28
La Guajira,2006,303
La Guajira,2007,10
La Guajira,2008,9
La Guajira,2009,10
La Guajira,2010,2
La Guajira,2011,3
La Guajira,2012,1
La Guajira,2013,10
La Guajira,2014,10
La Guajira,2015,3
La Guajira,2016,6
La Guajira,2017,2
Magdalena,2003,11
Magdalena,2004,77
Magdalena,2005,113
Magdalena,2006,1787
Magdalena,2007,11
Magdalena,2008,9
Magdalena,2009,7
Magdalena,2010,10
Magdalena,2011,7
Magdalena,2012,9
Magdalena,2013,13
Magdalena,2014,5
Magdalena,2015,2
Magdalena,2016,4
Magdalena,2017,1
Meta,2003,92
Meta,2004,139
Meta,2005,472
Meta,2006,886
Meta,2007,155
Meta,2008,366
Meta,2009,200
Meta,2010,229
Meta,2011,181
Meta,2012,129
Meta,2013,119
Meta,2014,121
Meta,2015,69
Meta,2016,110
Meta,2017,97
Narino,2003,7
Narino,2004,13
Narino,2005,156
Narino,2006,86
Narino,2007,39
Narino,2008,29
Narino,2009,44
Narino,2010,24
Narino,2011,17
Narino,2012,17
Narino,2013,23
Narino,2014,10
Narino,2015,17
Narino,2016,12
Narino,2017,93
Norte De Santander,2003,36
Norte De Santander,2004,480
Norte De Santander,2005,222
Norte De Santander,2006,333
Norte De Santander,2007,38
Norte De Santander,2008,32
Norte De Santander,2009,30
Norte De Santander,2010,41
Norte De Santander,2011,14
Norte De Santander,2012,27
Norte De Santander,2013,21
Norte De Santander,2014,34
Norte De Santander,2015,8
Norte De Santander,2016,16
Norte De Santander,2017,2
Por Establecer,2003,1205
Por Establecer,2004,1101
Por Establecer,2005,1049
Por Establecer,2006,1115
Por Establecer,2007,364
Por Establecer,2008,383
Por Establecer,2009,531
Por Establecer,2010,329
Por Establecer,2011,185
Por Establecer,2012,67
Por Establecer,2013,15
Por Establecer,2014,6
Por Establecer,2015,5
Por Establecer,2016,11
Por Establecer,2017,52
Putumayo,2003,12
Putumayo,2004,15
Putumayo,2005,24
Putumayo,2006,124
Putumayo,2007,40
Putumayo,2008,53
Putumayo,2009,57
Putumayo,2010,79
Putumayo,2011,24
Putumayo,2012,27
Putumayo,2013,40
Putumayo,2014,9
Putumayo,2015,15
Putumayo,2016,7
Putumayo,2017,3
Quindio,2003,23
Quindio,2004,35
Quindio,2005,98
Quindio,2006,92
Quindio,2007,25
Quindio,2008,31
Quindio,2009,37
Quindio,2010,24
Quindio,2011,27
Quindio,2012,7
Quindio,2013,12
Quindio,2014,22
Quindio,2015,10
Quindio,2016,7
Quindio,2017,4
Risaralda,2003,27
Risaralda,2004,37
Risaralda,2005,404
Risaralda,2006,218
Risaralda,2007,71
Risaralda,2008,79
Risaralda,2009,51
Risaralda,2010,42
Risaralda,2011,21
Risaralda,2012,9
Risaralda,2013,24
Risaralda,2014,17
Risaralda,2015,20
Risaralda,2016,17
Risaralda,2017,12
Santander,2003,95
Santander,2004,130
Santander,2005,365
Santander,2006,1393
Santander,2007,79
Santander,2008,59
Santander,2009,52
Santander,2010,36
Santander,2011,31
Santander,2012,40
Santander,2013,35
Santander,2014,29
Santander,2015,20
Santander,2016,11
Santander,2017,8
Sucre,2003,3
Sucre,2004,92
Sucre,2005,355
Sucre,2006,310
Sucre,2007,49
Sucre,2008,49
Sucre,2009,23
Sucre,2010,12
Sucre,2011,11
Sucre,2012,4
Sucre,2013,4
Sucre,2014,5
Sucre,2015,3
Sucre,2016,2
Sucre,2017,2
Tolima,2003,43
Tolima,2004,75
Tolima,2005,268
Tolima,2006,292
Tolima,2007,131
Tolima,2008,116
Tolima,2009,112
Tolima,2010,91
Tolima,2011,40
Tolima,2012,27
Tolima,2013,34
Tolima,2014,48
Tolima,2015,32
Tolima,2016,19
Tolima,2017,4
Valle Del Cauca,2003,59
Valle Del Cauca,2004,302
Valle Del Cauca,2005,368
Valle Del Cauca,2006,395
Valle Del Cauca,2007,390
Valle Del Cauca,2008,219
Valle Del Cauca,2009,279
Valle Del Cauca,2010,185
Valle Del Cauca,2011,128
Valle Del Cauca,2012,89
Valle Del Cauca,2013,134
Valle Del Cauca,2014,73
Valle Del Cauca,2015,69
Valle Del Cauca,2016,45
Valle Del Cauca,2017,27
Vaupes,2003,1
Vaupes,2004,0
Vaupes,2005,1
Vaupes,2006,3
Vaupes,2007,2
Vaupes,2008,3
Vaupes,2009,5
Vaupes,2010,9
Vaupes,2011,17
Vaupes,2012,7
Vaupes,2013,2
Vaupes,2014,2
Vaupes,2015,7
Vaupes,2016,5
Vaupes,2017,2
Vichada,2003,3
Vichada,2004,4
Vichada,2005,11
Vichada,2006,10
Vichada,2007,8
Vichada,2008,14
Vichada,2009,6
Vichada,2010,5
Vichada,2011,3
Vichada,2012,0
Vichada,2013,0
Vichada,2014,2
Vichada,2015,4
Vichada,2016,1
Vichada,2017,2